sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
2640,0.0,0.21142840385437012,0.0,0.0,0.0,0.0,0.0,0.0,42,930,164,0.40825000000000017,0.21766
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23095000000000002,0.0
2760,0.0,0.2598390579223633,0.0,0.0,0.0,0.0,0.0,0.0,58,977,171,0.38643,0.26584
2820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5030300000000002,0.0
2880,0.0,0.2875807285308838,0.0,0.0,0.0,0.0,0.0,0.0,47,1056,175,0.4277500000000001,0.28929
2940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47515999999999986,0.0
3000,0.0,0.3661046028137207,0.0,0.0,0.0020165443420410156,0.0,0.0,0.0,60,1126,184,0.6812099999999999,0.35836
3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6516,0.0
3120,0.0,0.2512197494506836,0.0,0.0,0.0020058155059814453,0.0,0.0,0.0,47,1190,189,0.41981999999999997,0.25842
3180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3138800000000001,0.0
3240,0.0,0.24715876579284668,0.0,0.0,0.0020024776458740234,0.0,0.0,0.0,48,1238,194,0.35753000000000007,0.25303
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23471999999999998,0.0
3360,0.0,0.27666735649108887,0.0,0.0,0.0,0.0,0.0,0.0,51,1286,201,0.34009,0.28187
3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2640700000000001,0.0
3480,0.0,0.3254551887512207,0.0,0.0,0.0,0.0,0.0,0.0,58,1356,205,0.5096200000000001,0.32453
3540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8573099999999999,0.0
3600,0.0,0.274829626083374,0.0,0.0,0.0020024776458740234,0.0,0.0,0.0,43,1441,210,0.27058,0.27848
3660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26714,0.0
3720,0.0,0.2556028366088867,0.0,0.0,0.012892723083496094,0.0,0.0,0.0,62,1480,226,0.37289000000000005,0.27567
3780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7005799999999999,0.0
