request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
134,BasicRequest,1,0,0,77;-1;-1,81;-1;-1,,,,,952.9517483011577,18154.674982806006,0:,,,,,,,,0
136,BasicRequest,1,0,0,76;-1;-1,88;-1;-1,,,,,1894.4857951236277,40505.761524005284,0:,,,,,,,,0
139,BasicRequest,1,0,0,77;-1;-1,8;-1;-1,,,,,1285.5106582616327,24738.38479459894,0:,,,,,,,,0
140,BasicRequest,1,0,0,63;-1;-1,122;-1;-1,,,,,2534.5569282262186,49364.213091733836,0:,,,,,,,,0
143,BasicRequest,1,0,0,63;-1;-1,67;-1;-1,,,,,177.03207432264594,2703.9575782654374,0:,,,,,,,,0
146,BasicRequest,1,0,0,62;-1;-1,63;-1;-1,,,,,80.13406202136258,1223.953936646261,0:,,,,,,,,0
153,BasicRequest,1,0,0,63;-1;-1,43;-1;-1,,,,,911.3974305078012,17423.836446062644,0:,,,,,,,,0
164,BasicRequest,1,60,60,63;-1;-1,46;-1;-1,,,,,1973.450427701322,40850.64143576572,0:,,,,,,,,0
165,BasicRequest,1,60,60,77;-1;-1,70;-1;-1,,,,,1045.2633980773717,19868.43046176045,0:,,,,,,,,0
167,BasicRequest,1,60,60,66;-1;-1,59;-1;-1,,,,,1891.2105232148112,38232.83540930417,0:,,,,,,,,0
169,BasicRequest,1,60,60,63;-1;-1,62;-1;-1,,,,,80.13406202136258,1223.953936646261,0:,,,,,,,,0
171,BasicRequest,1,60,60,77;-1;-1,24;-1;-1,,,,,1881.2140850363867,37165.16802136554,0:,,,,,,,,0
172,BasicRequest,1,60,60,77;-1;-1,125;-1;-1,,,,,2298.859726661115,48883.679520742575,0:,,,,,,,,0
180,BasicRequest,1,120,120,76;-1;-1,33;-1;-1,,,,,1869.4210977097837,36973.17170279457,0:,,,,,,,,0
181,BasicRequest,1,120,120,112;-1;-1,63;-1;-1,,,,,2252.1984102302545,46392.471041063916,0:,,,,,,,,0
182,BasicRequest,1,120,120,63;-1;-1,43;-1;-1,,,,,911.3974305078012,17423.836446062644,0:,,,,,,,,0
185,BasicRequest,1,120,120,70;-1;-1,120;-1;-1,,,,,1029.0111568909817,20236.467343565455,0:,,,,,,,,0
188,BasicRequest,1,120,120,63;-1;-1,46;-1;-1,,,,,1973.450427701322,40850.64143576572,0:,,,,,,,,0
189,BasicRequest,1,120,120,77;-1;-1,87;-1;-1,,,,,1993.7719632557314,40523.28345933228,0:,,,,,,,,0
192,BasicRequest,1,180,180,76;-1;-1,78;-1;-1,,,,,5.336394902327004,81.5071816334603,0:,,,,,,,,0
193,BasicRequest,1,180,180,76;-1;-1,70;-1;-1,,,,,1008.7049764995156,19310.043392902488,0:,,,,,,,,0
198,BasicRequest,1,180,180,76;-1;-1,43;-1;-1,,,,,778.3876780057903,14949.982822033908,0:,,,,,,,,0
200,BasicRequest,1,180,180,76;-1;-1,75;-1;-1,,,,,1184.2284268179008,21238.102303824897,0:,,,,,,,,0
