operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,12,rockingham_vehtype,route,False,0,60,5117;-1;-1,5112;4314;0.371,1194.802904859158,0.9350060741234096,0.9348865938329237,0.0,,0,,0,,,5117;5111;4592;6151;5112,5117:0;5111:6.8132095613285655;4592:19.62847751850705;6151:39.409069471682926;5112:49.86799992831517
0,13,rockingham_vehtype,route,False,0,60,5206;-1;-1,1596;1595;0.407,1089.3769417151213,0.7644474598764522,0.7643385221822807,0.0,,0,,0,,,5206;5115;1596,5206:0;5115:23.69628959946948;1596:45.48635639972981
0,11,rockingham_vehtype,route,False,0,110.664449753688,1739;-1;-1,24;-1;-1,1806.2237578234692,0.8871168447171083,0.886936222341326,0.0,,0,,0,,,1739;667;668;669;2608;1569;3494;3976;3977;25;24,1739:0;667:10.644848939754668;668:25.511462303661613;669:34.1681224885587;2608:60.221337102931;1569:68.79779982408725;3494:75.50780165468767;3976:85.95361232813795;3977:87.33184703905805;25:95.83855009162538;24:110.664449753688
0,5,rockingham_vehtype,route,False,0,120.0,777;-1;-1,2169;2799;0.983,2404.5273569023575,0.819960510663762,0.8197200579280717,0.0,,0,,0,,,777;1726;3337;2169,777:0;1726:10.364187279080689;3337:32.982567743511424;2169:61.405353708375884
0,12,rockingham_vehtype,route,False,60,120.0,5112;4314;0.371,5343;2304;0.302,1158.0822323049001,0.9348865938329237,0.9347707856096932,0.0,,0,,0,,,5112;4314;5344;3564;5343,5112:60;4314:77.21257300803;5344:91.21197129275414;3564:102.6310262249669;5343:115.47382096260655
0,5,rockingham_vehtype,route,False,120,142.31481325161312,2169;2799;0.983,120;-1;-1,447.1381577305913,0.8197200579280717,0.8196753441122986,0.0,,0,,0,,,2169;2799;6330;4675;4364;120,2169:120;2799:121.00567148732112;6330:129.5276846885145;4675:133.15478784420964;4364:138.30357149890406;120:142.31481325161312
0,6,rockingham_vehtype,boarding,True,0,180.0,132;-1;-1,132;-1;-1,0.0,0.916309922773969,0.916309922773969,0.0,,0,124,1,124,,,
0,7,rockingham_vehtype,route,False,0,149.729913682898,3963;-1;-1,114;-1;-1,2286.949053412925,0.7724415914984484,0.7722128965931071,0.0,,0,,0,,,3963;3962;5063;117;114,3963:0;3962:27.182928054780493;5063:89.09827181512483;117:140.64260875101093;114:149.729913682898
0,3,rockingham_vehtype,route,False,60,180.0,3735;-1;-1,552;553;0.761,2080.653828198605,0.9627983191463305,0.9625902537635106,0.0,,0,,0,,,3735;3222;3223;3224;3091;2536;2535;1897;549;550;551;552,3735:60;3222:74.5514227566259;3223:83.06852370035328;3224:90.89600886810706;3091:98.57078541595112;2536:105.7559980993465;2535:106.8909932922009;1897:117.49393596380436;549:132.15215632135266;550:146.64549438710054;551:160.67313256796274;552:172.9871375037876
0,4,rockingham_vehtype,route,False,0,180.0,2785;-1;-1,679;3185;0.587,3673.946391755834,0.8229470565333281,0.8225796618941524,0.0,,0,,0,,,2785;2784;2760;3629;3628;167;3627;3626;3625;3624;679,2785:0;2784:10.975485681107576;2760:33.34081068767848;3629:37.22975615065653;3628:87.2949344446405;167:95.1655897051728;3627:108.18484789344728;3626:112.87187773484874;3625:126.84271689268401;3624:151.497493580282;679:168.41024365172933
