zone_id,lat,lon
872a8bc2affffff,36.486176613084915,-79.75239689142167
872a8bc23ffffff,36.52085979139084,-79.7578691885863
872a8bc05ffffff,36.502451900897015,-79.76874261089785
872a8bc49ffffff,36.31934327697214,-79.64378925599503
872a8bc01ffffff,36.48404841376762,-79.77960768280761
872a8bc50ffffff,36.39848870898729,-79.75233216397528
872a8bc4affffff,36.33349154391902,-79.68717543012905
872a8bca9ffffff,36.457069234053336,-79.89923433404171
872a8bc4effffff,36.351843590416074,-79.67630839674368
872a8bcd6ffffff,36.399713575084654,-79.95877444430793
872a8bc48ffffff,36.33559255731854,-79.66004345574893
872a8bc4cffffff,36.353942917791414,-79.64916547296897
872a8bcdcffffff,36.35104988846343,-79.90968889897361
872a8bc8bffffff,36.415938158177106,-79.97515785019789
872a8b574ffffff,36.31215042870706,-79.9583369269931
872a8bc41ffffff,36.37020004399837,-79.66543304379907
872a8bc59ffffff,36.33138450557431,-79.71430456239435
872a8bc28ffffff,36.48829874257366,-79.72518321099356
872a8bc56ffffff,36.4147423171968,-79.76864826176391
872a8bcc0ffffff,36.37157596965944,-79.8717650907153
872a8bd42ffffff,36.5130236865362,-79.6326047582106
872a8bc5affffff,36.34550942878003,-79.75772008431086
872a8bd58ffffff,36.47623807285557,-79.65443677293948
872a8bc2effffff,36.50457841562096,-79.74152078950513
872a8bc5dffffff,36.3497382315548,-79.70344848104544
872a8bc4dffffff,36.337687543431095,-79.63290865097753
872a8b102ffffff,36.27060601938502,-79.59509102396726
872a8bc4bffffff,36.31724660323406,-79.67091312087601
872a8bce0ffffff,36.41047858434396,-79.82298464296113
872a8b521ffffff,36.37915124901769,-79.99668096909292
872a8bd53ffffff,36.50881321342249,-79.68706849931844
872a8b52affffff,36.34238217321442,-80.0181710649405
872a8bcedffffff,36.361749141558406,-79.77402007825832
872a8bc64ffffff,36.443669844107234,-79.62184826080222
872a8bc00ffffff,36.50031931214074,-79.79596153404948
872a8bc31ffffff,36.53500756036943,-79.80146652078611
872a8bc51ffffff,36.382236820816864,-79.73602683994486
872a8bcabffffff,36.454909074965194,-79.92641946726744
872a8bcd2ffffff,36.38132396800846,-79.96954288194142
872a8bca8ffffff,36.47331645375155,-79.91561789093478
872a8bc2bffffff,36.46990302894827,-79.73606198482075
872a8b12affffff,36.25850454186196,-79.52468850250843
872a8b104ffffff,36.29100797856274,-79.55708935575608
872a8bd50ffffff,36.52721601544995,-79.6761619740442
872a8bcd1ffffff,36.367269433455526,-79.92603997666689
872a8bc04ffffff,36.518728885592516,-79.78509915132594
872a8bcacffffff,36.49172826489729,-79.90480800794509
872a8bcc2ffffff,36.3694257131307,-79.89890400356903
872a8bd52ffffff,36.525103358703205,-79.703400588097
872a8bcadffffff,36.47547496616759,-79.88842172179363
872a8bc40ffffff,36.38645891533615,-79.68171137150651
872a8bc2cffffff,36.506698853923,-79.7142960816999
872a8bc76ffffff,36.45363115526914,-79.71973788302225
872a8bce5ffffff,36.41261347252242,-79.79581790209686
872a8b89affffff,36.3602046876429,-79.56771978223779
872a8bc21ffffff,36.522984616557096,-79.73063633022845
872a8bc06ffffff,36.51659190155927,-79.81232620661058
