origin_zone,dest_zone,trips,travel_time,distance_miles
59,77,3,24,14.0
59,81,27,25,14.583
59,82,6,27,15.75
59,83,9,26,15.167
59,129,1,35,20.417
60,63,1,11,6.417
60,65,1,12,7.0
60,70,2,21,12.25
60,75,2,29,16.917
60,81,7,26,15.167
60,83,1,27,15.75
61,28,1,47,27.417
61,42,220,11,6.417
61,43,25,11,6.417
61,45,28,8,4.667
61,46,29,5,2.917
61,47,2,13,7.583
61,57,1,15,8.75
61,58,34,10,5.833
61,61,5,0,0.0
61,62,4,12,7.0
61,63,117,8,4.667
61,64,3,9,5.25
61,65,19,9,5.25
61,66,32,5,2.917
61,70,147,18,10.5
61,72,4,23,13.417
61,75,2,26,15.167
61,77,26,23,13.417
61,81,73,23,13.417
61,82,4,25,14.583
61,83,10,24,14.0
61,112,23,29,16.917
61,154,17,11,6.417
62,1,1,37,21.583
62,15,1,39,22.75
62,25,1,35,20.417
62,37,2,27,15.75
62,43,16,15,8.75
62,45,3,15,8.75
62,46,39,12,7.0
62,52,1,28,16.333
62,54,11,24,14.0
62,56,2,22,12.833
62,58,1,17,9.917
62,59,6,13,7.583
62,61,4,11,6.417
62,62,25,0,0.0
62,63,194,10,5.833
62,64,2,10,5.833
62,65,30,12,7.0
62,66,172,9,5.25
62,70,10,18,10.5
62,73,2,17,9.917
62,75,11,27,15.75
62,77,44,23,13.417
62,79,1,23,13.417
62,80,1,26,15.167
62,81,102,24,14.0
62,82,9,25,14.583
62,83,3,25,14.583
62,84,1,24,14.0
62,90,2,25,14.583
62,91,4,22,12.833
62,93,2,18,10.5
62,95,1,20,11.667
62,98,3,27,15.75
62,112,4,31,18.083
62,118,3,29,16.917
62,121,1,35,20.417
62,129,7,34,19.833
62,130,4,32,18.667
62,131,1,31,18.083
62,148,1,31,18.083
62,153,1,19,11.083
62,154,6,14,8.167
62,159,1,32,18.667
62,162,1,32,18.667
63,1,5,35,20.417
63,9,1,38,22.167
63,17,1,28,16.333
63,21,7,38,22.167
63,24,12,32,18.667
63,25,1,30,17.5
63,37,1,25,14.583
63,38,7,30,17.5
63,39,6,35,20.417
63,40,1,30,17.5
63,42,7,11,6.417
63,43,382,8,4.667
63,44,2,13,7.583
63,45,8,8,4.667
63,46,311,5,2.917
63,47,1,14,8.167
63,54,10,19,11.083
63,56,5,16,9.333
63,58,12,14,8.167
63,59,18,10,5.833
63,60,1,11,6.417
63,61,111,8,4.667
63,62,188,10,5.833
63,63,31,0,0.0
63,64,2,7,4.083
63,65,39,8,4.667
63,66,148,6,3.5
63,67,147,10,5.833
63,69,6,18,10.5
63,70,108,16,9.333
63,73,3,14,8.167
63,75,180,24,14.0
63,77,9,21,12.25
63,78,1,24,14.0
63,79,6,21,12.25
63,80,1,23,13.417
63,81,67,21,12.25
63,82,4,23,13.417
63,83,6,22,12.833
63,84,3,21,12.25
63,91,3,20,11.667
63,93,6,16,9.333
63,95,2,18,10.5
63,96,2,18,10.5
63,98,2,25,14.583
63,99,1,20,11.667
63,101,3,12,7.0
63,103,1,16,9.333
63,107,2,33,19.25
63,110,1,26,15.167
63,111,23,33,19.25
63,112,62,26,15.167
63,114,51,35,20.417
63,118,53,23,13.417
63,119,148,20,11.667
63,122,25,29,16.917
63,123,3,27,15.75
63,129,17,29,16.917
63,130,2,27,15.75
63,131,98,26,15.167
63,132,1,29,16.917
63,145,2,27,15.75
63,146,1,23,13.417
63,149,136,23,13.417
63,152,5,17,9.917
63,153,1,15,8.75
63,154,17,11,6.417
63,155,128,22,12.833
63,161,2,31,18.083
63,162,9,28,16.333
64,1,1,32,18.667
64,3,2,26,15.167
64,37,2,22,12.833
64,43,5,13,7.583
64,46,24,10,5.833
64,50,1,11,6.417
64,56,1,17,9.917
64,57,2,12,7.0
64,58,10,15,8.75
64,59,6,11,6.417
64,61,5,9,5.25
64,62,2,10,5.833
64,63,2,9,5.25
64,65,3,10,5.833
64,66,5,7,4.083
64,70,11,13,7.583
64,75,7,21,12.25
64,79,8,18,10.5
64,81,16,19,11.083
64,91,2,17,9.917
64,93,1,13,7.583
64,96,1,15,8.75
64,106,1,34,19.833
64,112,3,26,15.167
64,113,1,31,18.083
64,118,10,24,14.0
64,146,2,24,14.0
64,154,16,12,7.0
64,158,12,17,9.917
65,43,1,14,8.167
65,44,2,18,10.5
65,46,20,10,5.833
65,58,4,14,8.167
65,59,6,6,3.5
65,60,1,11,6.417
65,61,20,8,4.667
65,62,31,12,7.0
65,63,39,9,5.25
65,64,2,10,5.833
65,66,14,6,3.5
65,68,6,16,9.333
65,70,229,18,10.5
65,75,4,27,15.75
65,77,1,23,13.417
65,81,11,24,14.0
65,82,8,25,14.583
65,83,72,25,14.583
65,84,1,24,14.0
65,110,1,31,18.083
65,129,1,34,19.833
65,152,4,13,7.583
65,162,21,23,13.417
66,1,2,34,19.833
66,6,2,23,13.417
66,15,1,36,21.0
66,24,1,34,19.833
66,33,1,43,25.083
66,35,12,27,15.75
66,37,5,24,14.0
66,41,26,29,16.917
66,42,10,13,7.583
66,43,62,11,6.417
66,45,15,10,5.833
66,46,173,7,4.083
66,47,3,13,7.583
66,49,1,9,5.25
66,52,3,24,14.0
66,56,14,18,10.5
66,58,25,11,6.417
66,59,36,7,4.083
66,61,32,5,2.917
66,62,164,9,5.25
66,63,150,6,3.5
66,64,6,7,4.083
66,65,13,6,3.5
66,66,57,0,0.0
66,69,10,18,10.5
66,70,85,15,8.75
66,73,2,14,8.167
66,75,54,24,14.0
66,77,2,20,11.667
66,79,8,20,11.667
66,80,6,23,13.417
66,81,71,21,12.25
66,82,2,22,12.833
66,83,57,22,12.833
66,84,2,21,12.25
66,91,25,19,11.083
66,92,12,28,16.333
66,93,4,15,8.75
66,98,3,24,14.0
66,103,3,15,8.75
66,106,3,33,19.25
66,107,1,34,19.833
66,112,18,28,16.333
66,118,18,25,14.583
66,129,28,31,18.083
66,131,8,28,16.333
66,132,2,31,18.083
66,139,3,37,21.583
66,142,10,28,16.333
66,148,6,25,14.583
66,150,1,23,13.417
66,152,2,14,8.167
66,153,10,12,7.0
66,154,99,8,4.667
66,155,1,19,11.083
66,157,9,15,8.75
66,158,5,19,11.083
66,159,2,26,15.167
66,161,1,28,16.333
66,162,1,26,15.167
67,63,147,10,5.833
67,81,3,25,14.583
68,65,5,17,9.917
68,70,1,26,15.167
69,16,9,26,15.167
69,39,7,26,15.167
69,46,2,20,11.667
69,63,7,18,10.5
69,66,11,17,9.917
69,69,1,0,0.0
69,70,208,7,4.083
69,75,6,16,9.333
69,77,2,12,7.0
69,79,2,12,7.0
69,81,51,13,7.583
69,129,1,32,18.667
69,162,1,30,17.5
70,1,2,23,13.417
70,2,208,22,12.833
70,3,5,16,9.333
70,9,1,26,15.167
70,14,1,15,8.75
70,17,1,15,8.75
70,18,68,10,5.833
70,19,61,14,8.167
70,23,90,38,22.167
70,24,134,35,20.417
70,39,1,23,13.417
70,42,119,23,13.417
70,43,15,21,12.25
70,46,358,18,10.5
70,48,1,19,11.083
70,57,1,21,12.25
70,59,4,20,11.667
70,60,2,21,12.25
70,61,146,18,10.5
70,62,9,18,10.5
70,63,107,17,9.917
70,64,11,13,7.583
70,65,226,18,10.5
70,66,108,15,8.75
70,68,1,26,15.167
70,69,207,9,5.25
70,70,614,0,0.0
70,71,74,10,5.833
70,73,1,6,3.5
70,74,4,4,2.333
70,75,569,9,5.25
70,76,188,12,7.0
70,77,327,8,4.667
70,78,1,12,7.0
70,79,22,8,4.667
70,80,1,11,6.417
70,81,437,6,3.5
70,82,10,16,9.333
70,83,20,12,7.0
70,84,4,17,9.917
70,85,1,15,8.75
70,86,234,21,12.25
70,90,1,10,5.833
70,91,185,7,4.083
70,92,1,16,9.333
70,93,3,10,5.833
70,95,1,13,7.583
70,96,1,13,7.583
70,98,32,13,7.583
70,105,193,12,7.0
70,110,2,35,20.417
70,112,1,35,20.417
70,116,6,42,24.5
70,119,148,30,17.5
70,120,90,37,21.583
70,122,208,39,22.75
70,128,123,34,19.833
70,129,7,31,18.083
70,131,1,35,20.417
70,138,1,18,10.5
70,150,2,19,11.083
70,152,67,27,15.75
70,153,276,25,14.583
70,154,28,20,11.667
